16003373,ESC EST SANTA MARIA
16003420,ESC EST PROF ONEIDE PINTO LIMA
16003438,ESC EST PROF NELITA ROCHA BRITO DIAS
16003497,ESC EST MAE ANGELICA
16003926,ESC EST JOSE DO PATROCINIO
16006240,ESC EST PROF ANTONIO CASTRO MONTEIRO
16006461,ESC EST MARIA IVONE DE MENEZES
16006488,ESC EST MARIA BERNADETE A DO NASCIMENTO
16006763,ESC EST SANTUARIO DO PERPETUO SOCORRO
16006780,ESC EST PROF MARIA DE NAZARE PEREIRA VASCONCELOS
16006852,ESC EST MARIA NEUSA CARMO DE SOUSA
16007271,ESC EST RIVANDA NAZARE DA S GUIMARAES
16007395,ESC EST DE EDUC POP PROF PAULO FREIRE
16007441,ESC EST PROF ESTHER DA SILVA VIRGOLINO
16007450,ESC EST PROF ARACY MIRANDA DE MONTALVERNE
16007468,ESC EST PROF ELCY RODRIGUES LACERDA
16007476,CENTRO EDUC RAIMUNDO N DIAS RODRIGUES
16007530,ESC EST BRASIL NOVO
16008316,ESC EST MARIA MAE DE DEUS
16008413,ESC EST SAO FRANCISCO DAS CHAGAS
16008456,ESC EST PROF RAIMUNDA VIRGOLINO
16008626,ESC EST RAIMUNDA DOS PASSOS SANTOS
16008634,ESC EST RAIMUNDA DULCINEA M DA SILVA
16008820,ESC EST PROF BENIGNA MOREIRA SOUSA
16008952,CENTRO DE ENS PROFIS DO AMAPA PROFª JOSINETE OLIVEIRA BARROSO
16009606,ESC EST PROF ANTONIO MESSIAS G DA SILVA
16010000,ESC EST PROF NANCI NINA COSTA
16010361,ESC EST PROF NILTON BALIEIRO MACHADO
16010370,ESC EST PROF ANTONIO FERREIRA LIMA NETO
16010418,ESC EST PROF MARIA CAVALCANTE DE AZEVEDO PICANCO
16010620,ESC EST SAO JOSE
16010841,ESC EST PE ANGELO BIRAGHI
16011341,ESCOLA ESTADUAL PROFESSORA RISALVA FREITAS DO AMARAL
16018001,CENTRO EDUC PROFISSIONAL DE MUSICA WALKIRIA LIMA
16019008,CENTRO DE EDUC PROFISSIONAL DE ARTES VISUAIS CANDIDO PORTINARI
16025008,ESC EST DE TEMPO INTEGRAL PROF DARCY RIBEIRO
16031008,CENTRO DE APOIO PEDAG AO DEF VISUAL
16039009,CENTRO DE ATIV DE ALTAS HABILIDADES E SUPERDOTACAO
16007310,INST FED DE EDUC CIENCIA E TECNOLOGIA DO AMAPA-CAMPUS MACAPA
16002920,ESC MUL JOAO ROLINDO DO CARMO
16002997,ESC MUL CAMPINA DE SAO BENEDITO
16003004,ESC MUL CAMPINA GRANDE
16003055,ESC MUL LIBERDADE DO PACUI
16003250,ESC MUL PRATINHA
16003500,ESC MUL TESSALONICA
16003861,ESC MUL JARANDUBA DO BAILIQUE
16003896,ESC MUL CANAL DOS GUIMARAES
16003900,ESC MUL VILA PROGRESSO
16003934,ESC MUL CAETANO DIAS TOMAZ
16004078,ESC MUL DOIS IRMAOS
16004086,ESC MUL ERIDIO ROCHA DA CONCEICAO
16004582,ESC MUL GOIAS
16006208,ESC MUL SAO JOAQUIM DO RIO PEDREIRA
16006275,ESC MUL CURRALINHO
16006283,ESC MUL FORTALEZA
16007069,ESC MUL VO LIXANDRE
16007301,ESC MUL ROSA DE SARON
16007379,ESC MUL CACILDA F VASCONCELOS
16007573,ESC MUL SAO RAIMUNDO DO PARAISO
16008553,ESC MUL PROF GERSON TRINDADE PEREIRA
16009622,ESC MUL ILHA DA CROA DA PEDREIRA
16010205,ESC MUL MARIA EUGENIA MACIEL SENA
16012402,ESC MUL MARANATA
16016203,ESC MUL EDUC INF FREGUESIA DO BAILIQUE
16016211,ESC MUL EDUC INF LUZIA COSTA DA SILVA
16029003,ESC MUL JANICE MELO PALMERIM
16032004,ESC MUL BENEDITA NEVES TAVARES
16033000,ESC MUL SANTA LUZIA DO PACUI
16001907,ESC MUL PROF GUITA
16002911,ESC MUL PROF EUNICE DAS CHAGAS FERNANDES SOUSA
16002938,ESC MUL HILDEMAR MAIA
